ID,Delivery_person_ID,Order_Date,Time_Orderd,Road_traffic_density,Type_of_order
0x3474,BANGRES15DEL01,29-03-2022,20:30,1,3
0x9420,JAPRES09DEL03,10/3/2022,19:35,1,1
0x72ee,JAPRES07DEL03,2/4/2022,17:15,3,2
0xa759,CHENRES19DEL01,27-03-2022,18:25,3,1
0xc4af,GOARES04DEL01,15-02-2022,9:45,2,1
0x3b9d,BANGRES19DEL02,1/4/2022,0.416666667,2,0
0xdd42,KOLRES06DEL02,13-02-2022,0.75,3,2
0x872b,MYSRES05DEL03,2/3/2022,21:30,1,3
0x6001,HYDRES04DEL03,5/4/2022,20:45,1,2
0xd845,KOCRES09DEL01,17-02-2022,14:35,0,3
0x4946,VADRES04DEL01,8/3/2022,23:40,2,1
0x4598,RANCHIRES14DEL03,1/4/2022,22:15,2,3
0xbd51,BANGRES11DEL01,16-03-2022,23:40,2,1
0x73ec,RANCHIRES010DEL03,17-03-2022,21:30,1,2
0x5ca7,HYDRES19DEL03,1/4/2022,20:35,1,3
0x9fa6,COIMBRES03DEL03,15-03-2022,20:30,1,0
0x914e,HYDRES12DEL02,14-03-2022,21:55,1,3
0x36e5,CHENRES20DEL03,24-03-2022,18:35,3,3
0xd82e,KOCRES09DEL02,16-02-2022,21:20,1,1
0x1df3,JAPRES20DEL03,4/3/2022,22:10,2,2
0xa65,PUNERES03DEL02,9/3/2022,21:55,1,0
0x8b83,BANGRES13DEL03,1/4/2022,20:20,1,1
0x5b95,HYDRES12DEL03,17-03-2022,18:35,3,2
0xaa43,COIMBRES05DEL02,5/3/2022,0.5,0,2
0x9995,HYDRES18DEL03,19-03-2022,20:30,1,3
0x1018,INDORES20DEL02,13-03-2022,20:20,1,1
0x4af3,HYDRES08DEL03,9/3/2022,0.791666667,3,3
0x87a1,MYSRES03DEL01,1/4/2022,8:25,2,2
0xb64c,COIMBRES01DEL02,30-03-2022,9:55,2,3
0x4b7e,COIMBRES17DEL02,8/3/2022,1,2,0
0x252d,SURRES03DEL01,24-03-2022,9:35,2,1
0x368e,SURRES11DEL02,5/3/2022,8:25,2,2
0xe09,CHENRES08DEL03,7/3/2022,19:15,1,2
0x39aa,RANCHIRES09DEL02,10/3/2022,19:15,1,3
0xb542,RANCHIRES19DEL02,16-03-2022,18:20,3,2
0x7604,JAPRES02DEL02,1/4/2022,18:35,3,2
0x597c,COIMBRES12DEL02,14-03-2022,0.791666667,3,0
0x184f,COIMBRES05DEL01,5/4/2022,8:55,2,3
0x9442,HYDRES09DEL01,5/4/2022,14:55,0,3
0x84e,SURRES04DEL02,3/4/2022,11:20,0,1
0xa6ba,HYDRES01DEL03,9/3/2022,19:45,1,0
0xb66b,INDORES01DEL03,11/3/2022,19:25,1,1
0x9bb,VADRES16DEL01,24-03-2022,10:20,2,3
0x8d9a,CHENRES09DEL03,4/4/2022,1,2,0
0x869f,MYSRES13DEL01,2/3/2022,18:50,3,2
0xc587,LUDHRES12DEL01,11/2/2022,11:10,0,0
0x3167,COIMBRES02DEL02,18-03-2022,20:15,1,0
0x4981,CHENRES02DEL03,5/3/2022,20:20,1,0
0x4c83,COIMBRES05DEL03,3/3/2022,22:35,2,2
0x2493,CHENRES03DEL01,23-03-2022,22:35,2,2
0x21a5,INDORES01DEL02,7/3/2022,17:25,3,0
0x5571,MYSRES02DEL02,3/4/2022,22:50,2,1
0x45b1,PUNERES13DEL03,24-03-2022,19:45,1,3
0xb1f0,JAPRES12DEL03,8/3/2022,22:45,2,3
0x75d9,CHENRES06DEL03,26-03-2022,20:10,1,1
0x46dd,VADRES06DEL01,20-03-2022,0.75,3,1
0x95e5,BANGRES15DEL02,3/3/2022,8:50,2,1
0x1c1f,VADRES14DEL02,20-03-2022,0.958333333,2,2
0x45bd,BANGRES05DEL03,4/3/2022,23:15,2,0
0xb986,MYSRES04DEL02,4/4/2022,0.958333333,2,3
0x1761,INDORES18DEL02,10/3/2022,19:35,1,3
0xb84c,MYSRES16DEL03,5/4/2022,22:35,2,1
0x69c3,PUNERES03DEL01,21-03-2022,16:10,3,0
0xd68c,LUDHRES010DEL03,12/2/2022,19:55,1,0
0xd05f,DEHRES02DEL01,14-02-2022,21:55,1,3
0xb5f0,RANCHIRES06DEL01,5/4/2022,10:30,2,1
0x69a8,INDORES07DEL01,5/4/2022,14:20,0,3
0xc9c5,BHPRES17DEL01,16-02-2022,17:30,3,1
0x478e,JAPRES07DEL02,23-03-2022,23:20,2,3
0x12dd,MUMRES09DEL01,7/3/2022,11:55,0,3
0x78e3,COIMBRES07DEL01,17-03-2022,15:35,3,2
0x1661,INDORES15DEL02,6/4/2022,22:45,2,1
0xcb17,ALHRES06DEL02,17-02-2022,0.416666667,2,0
0xdff4,DEHRES19DEL02,12/2/2022,23:30,2,0
0x75c3,PUNERES18DEL01,4/3/2022,22:50,2,0
0xceb4,ALHRES16DEL01,11/2/2022,10:40,2,1
0x8ae4,INDORES03DEL01,10/3/2022,20:15,1,2
0xdb61,BHPRES12DEL03,18-02-2022,21:55,1,3
0x790,INDORES15DEL03,14-03-2022,22:20,2,2
